t,p,D,T,S,U,D_bar,Z_bar,gradient_estimate,delta_hat,upsilon_hat,zeta,state_d_a,state_name,experiment_type,n,cumulative_regret,experimentation
188,23.49281215200063,8090,5149,4806.016861874566,271574.4976145985,0.809,0.5149,-0.4074077033634715,0.0017676675448934315,0.0017393129469919861,0.5,0.7,High ($d_a = 0.7$),local,10000,5653.134372218069,Local
189,23.449700225718782,6605,5235,4611.501874902953,260781.81343542188,0.6605,0.5235,0.15998912084819572,0.025825652841781843,0.018661656128771055,0.5,0.7,High ($d_a = 0.7$),local,10000,5653.136570289871,Local
190,23.466541185808065,2319,4043,2204.880802940627,124649.53806324638,0.2319,0.4043,-0.179864858099072,0.01465944443839994,0.008526026008535055,0.5,0.3,Low ($d_a = 0.3$),local,10000,5653.14063110923,Local
191,23.44770716925319,3338,4034,2896.877109738701,163825.04260463046,0.3338,0.4034,-0.1529052998620325,0.014252243310874498,0.009320879692812156,0.5,0.3,Low ($d_a = 0.3$),local,10000,5653.142646269987,Local
192,23.431779533850893,7805,5267,4854.031829228463,274583.9426655007,0.7805,0.5267,0.08893063117270256,0.016874793074594448,0.014362808430277142,0.5,0.7,High ($d_a = 0.7$),local,10000,5653.143485119944,Local
193,23.440995143298842,4261,4041,3316.140642851301,187557.6147245308,0.4261,0.4041,-0.11875813123837708,0.010991810991811004,0.008497702311523728,0.5,0.3,Low ($d_a = 0.3$),local,10000,5653.144942719028,Local
194,23.428752036985607,6281,5195,4509.197400457134,255090.9242554404,0.6281,0.5195,0.12368030705994476,0.026095542928395284,0.01831396743645307,0.5,0.7,High ($d_a = 0.7$),local,10000,5653.145615364505,Local
195,23.441437196684063,2524,4136,2374.956070505263,134324.10206878837,0.2524,0.4136,-0.1993100215721348,0.009239858883667969,0.006468268804855411,0.5,0.3,Low ($d_a = 0.3$),local,10000,5653.147106912886,Local
196,23.421099439380786,5903,4747,4161.238285664742,235438.28717366705,0.5903,0.4747,0.037701605472243216,0.018151963367670297,0.01389898375711096,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5653.147441174104,Local
197,23.424927013540405,6803,5210,4640.235308224042,262521.651237122,0.6803,0.521,0.009296896321238979,0.01676581046892781,0.01359708753147028,0.5,0.7,High ($d_a = 0.7$),local,10000,5653.147930043284,Local
198,23.425866093976893,4080,4124,3281.411221643944,185642.99785401128,0.408,0.4124,-0.18096486717513321,0.008222969396369958,0.006645869900415091,0.5,0.3,Low ($d_a = 0.3$),local,10000,5653.148461321199,Local
199,23.407678670140196,2493,4047,2341.7354596972386,132524.24560471307,0.2493,0.4047,-0.17094908791795105,0.02025712925665326,0.0103696080844645,0.5,0.3,Low ($d_a = 0.3$),local,10000,5653.1484849606595,Local
200,23.390583761348402,5373,4746,4016.6854160304265,227382.2166157879,0.5373,0.4746,0.12294030268040879,0.029437741442472375,0.01849333959659859,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5653.148634603668,Local
1,50.0,3473,5864,3285.0711440353193,98552.13432105961,0.3473,0.5864,,,,,0.3,Low ($d_a = 0.3$),global,10000,707.4101633617341,Global (Epsilon-Greedy)
2,50.0,7458,7417,5949.909594238876,178497.2878271663,0.7458,0.7417,,,,,0.7,High ($d_a = 0.7$),global,10000,1414.8203267234683,Global (Epsilon-Greedy)
3,50.0,4953,6906,4495.5977535127195,134867.93260538162,0.4953,0.6906,,,,,0.5,Medium ($d_a = 0.5$),global,10000,2122.2304900852023,Global (Epsilon-Greedy)
4,50.0,5566,6891,4871.801245619689,146154.03736859068,0.5566,0.6891,,,,,0.5,Medium ($d_a = 0.5$),global,10000,2829.6406534469365,Global (Epsilon-Greedy)
5,50.0,4437,6944,4138.142473450396,124144.27420351187,0.4437,0.6944,,,,,0.5,Medium ($d_a = 0.5$),global,10000,3537.050816808671,Global (Epsilon-Greedy)
6,50.0,4843,6808,4405.302943276031,132159.08829828093,0.4843,0.6808,,,,,0.5,Medium ($d_a = 0.5$),global,10000,4244.460980170405,Global (Epsilon-Greedy)
7,50.0,3120,5774,2991.834222464633,89755.02667393899,0.312,0.5774,,,,,0.3,Low ($d_a = 0.3$),global,10000,4951.871143532138,Global (Epsilon-Greedy)
8,50.0,5166,6898,4632.201508176506,138966.04524529516,0.5166,0.6898,,,,,0.5,Medium ($d_a = 0.5$),global,10000,5659.281306893872,Global (Epsilon-Greedy)
9,50.0,3394,5799,3216.659840194272,96499.79520582818,0.3394,0.5799,,,,,0.3,Low ($d_a = 0.3$),global,10000,6366.691470255606,Global (Epsilon-Greedy)
10,45.0,4775,6590,4322.020000475477,151270.70001664167,0.4775,0.659,,,,,0.5,Medium ($d_a = 0.5$),global,10000,6833.129799890207,Global (Epsilon-Greedy)
11,50.0,4602,6882,4250.090789120214,127502.72367360642,0.4602,0.6882,,,,,0.5,Medium ($d_a = 0.5$),global,10000,7540.539963251941,Global (Epsilon-Greedy)
12,50.0,4656,6983,4302.79891719932,129083.96751597962,0.4656,0.6983,,,,,0.5,Medium ($d_a = 0.5$),global,10000,8247.950126613676,Global (Epsilon-Greedy)
13,45.0,2792,5600,2702.7468869196136,94596.14104218651,0.2792,0.56,,,,,0.3,Low ($d_a = 0.3$),global,10000,8714.388456248278,Global (Epsilon-Greedy)
14,50.0,4602,6852,4245.837879447255,127375.13638341767,0.4602,0.6852,,,,,0.5,Medium ($d_a = 0.5$),global,10000,9421.798619610012,Global (Epsilon-Greedy)
15,50.0,4897,6882,4454.0971391774665,133622.914175324,0.4897,0.6882,,,,,0.5,Medium ($d_a = 0.5$),global,10000,10129.208782971746,Global (Epsilon-Greedy)
16,50.0,3274,6877,3183.673335103358,95510.20005310075,0.3274,0.6877,,,,,0.5,Medium ($d_a = 0.5$),global,10000,10836.61894633348,Global (Epsilon-Greedy)
17,50.0,5076,6857,4566.917078491347,137007.51235474044,0.5076,0.6857,,,,,0.5,Medium ($d_a = 0.5$),global,10000,11544.029109695213,Global (Epsilon-Greedy)
18,50.0,4162,6954,3929.7506289040134,117892.51886712041,0.4162,0.6954,,,,,0.5,Medium ($d_a = 0.5$),global,10000,12251.439273056947,Global (Epsilon-Greedy)
19,50.0,4258,6944,4003.0420621265803,120091.26186379744,0.4258,0.6944,,,,,0.5,Medium ($d_a = 0.5$),global,10000,12958.84943641868,Global (Epsilon-Greedy)
20,50.0,4761,6876,4360.682715041872,130820.48145125617,0.4761,0.6876,,,,,0.5,Medium ($d_a = 0.5$),global,10000,13666.259599780415,Global (Epsilon-Greedy)
21,50.0,6483,7524,5541.380073671534,166241.402210146,0.6483,0.7524,,,,,0.7,High ($d_a = 0.7$),global,10000,14373.669763142148,Global (Epsilon-Greedy)
22,50.0,4935,6937,4488.932350908847,134667.9705272654,0.4935,0.6937,,,,,0.5,Medium ($d_a = 0.5$),global,10000,15081.079926503882,Global (Epsilon-Greedy)
23,55.0,4753,7127,4392.234145267418,109805.85363168546,0.4753,0.7127,,,,,0.5,Medium ($d_a = 0.5$),global,10000,16079.46192359275,Global (Epsilon-Greedy)
24,55.0,5180,7128,4684.816120797362,117120.40301993403,0.518,0.7128,,,,,0.5,Medium ($d_a = 0.5$),global,10000,17077.843920681615,Global (Epsilon-Greedy)
25,50.0,3603,6899,3469.7747324914367,104093.2419747431,0.3603,0.6899,,,,,0.5,Medium ($d_a = 0.5$),global,10000,17785.25408404335,Global (Epsilon-Greedy)
26,55.0,4426,7159,4154.639054559263,103865.97636398155,0.4426,0.7159,,,,,0.5,Medium ($d_a = 0.5$),global,10000,18783.636081132216,Global (Epsilon-Greedy)
27,50.0,5403,6840,4764.80533085367,142944.1599256101,0.5403,0.684,,,,,0.5,Medium ($d_a = 0.5$),global,10000,19491.04624449395,Global (Epsilon-Greedy)
28,50.0,6290,6902,5254.154762638196,157624.64287914586,0.629,0.6902,,,,,0.5,Medium ($d_a = 0.5$),global,10000,20198.456407855687,Global (Epsilon-Greedy)
29,55.0,7778,7663,6175.714864420166,154392.8716105041,0.7778,0.7663,,,,,0.7,High ($d_a = 0.7$),global,10000,21196.838404944552,Global (Epsilon-Greedy)
30,50.0,7517,7451,5986.967189661469,179609.0156898441,0.7517,0.7451,,,,,0.7,High ($d_a = 0.7$),global,10000,21904.248568306288,Global (Epsilon-Greedy)
31,45.0,4816,6595,4349.744238599039,152241.0483509664,0.4816,0.6595,,,,,0.5,Medium ($d_a = 0.5$),global,10000,22370.68689794089,Global (Epsilon-Greedy)
32,50.0,6598,7426,5570.680452060554,167120.4135618166,0.6598,0.7426,,,,,0.7,High ($d_a = 0.7$),global,10000,23078.097061302626,Global (Epsilon-Greedy)
33,50.0,2758,5746,2679.8855161230667,80396.56548369199,0.2758,0.5746,,,,,0.3,Low ($d_a = 0.3$),global,10000,23785.50722466436,Global (Epsilon-Greedy)
34,50.0,6033,6938,5138.226956304704,154146.80868914112,0.6033,0.6938,,,,,0.5,Medium ($d_a = 0.5$),global,10000,24492.917388026097,Global (Epsilon-Greedy)
35,55.0,5744,7729,5162.071908537818,129051.79771344544,0.5744,0.7729,,,,,0.7,High ($d_a = 0.7$),global,10000,25491.299385114962,Global (Epsilon-Greedy)
36,45.0,6319,7114,5335.743240055633,186751.01340194716,0.6319,0.7114,,,,,0.7,High ($d_a = 0.7$),global,10000,25957.737714749564,Global (Epsilon-Greedy)
37,45.0,6934,7185,5644.031863937106,197541.11523779872,0.6934,0.7185,,,,,0.7,High ($d_a = 0.7$),global,10000,26424.176044384167,Global (Epsilon-Greedy)
38,45.0,6103,7162,5238.960953791536,183363.6333827037,0.6103,0.7162,,,,,0.7,High ($d_a = 0.7$),global,10000,26890.61437401877,Global (Epsilon-Greedy)
39,45.0,3080,5708,2954.0221466445564,103390.77513255946,0.308,0.5708,,,,,0.3,Low ($d_a = 0.3$),global,10000,27357.05270365337,Global (Epsilon-Greedy)
40,45.0,4859,6650,4387.865795476454,153575.30284167588,0.4859,0.665,,,,,0.5,Medium ($d_a = 0.5$),global,10000,27823.491033287974,Global (Epsilon-Greedy)
41,45.0,3018,5434,2883.205071844409,100912.17751455429,0.3018,0.5434,,,,,0.3,Low ($d_a = 0.3$),global,10000,28289.929362922576,Global (Epsilon-Greedy)
42,45.0,6338,7103,5341.724793679678,186960.36777878873,0.6338,0.7103,,,,,0.7,High ($d_a = 0.7$),global,10000,28756.367692557178,Global (Epsilon-Greedy)
43,45.0,7497,7171,5861.4076589825745,205149.2680643901,0.7497,0.7171,,,,,0.7,High ($d_a = 0.7$),global,10000,29222.80602219178,Global (Epsilon-Greedy)
44,45.0,5686,7146,5002.259210980803,175079.07238432814,0.5686,0.7146,,,,,0.7,High ($d_a = 0.7$),global,10000,29689.244351826383,Global (Epsilon-Greedy)
45,45.0,7251,7156,5762.298885227395,201680.46098295864,0.7251,0.7156,,,,,0.7,High ($d_a = 0.7$),global,10000,30155.682681460985,Global (Epsilon-Greedy)
46,45.0,5358,6651,4693.996405128589,164289.87417950062,0.5358,0.6651,,,,,0.5,Medium ($d_a = 0.5$),global,10000,30622.121011095587,Global (Epsilon-Greedy)
47,45.0,4837,6561,4356.999150864018,152494.97028024064,0.4837,0.6561,,,,,0.5,Medium ($d_a = 0.5$),global,10000,31088.55934073019,Global (Epsilon-Greedy)
48,45.0,4772,6584,4318.969921448516,151163.94725069805,0.4772,0.6584,,,,,0.5,Medium ($d_a = 0.5$),global,10000,31554.99767036479,Global (Epsilon-Greedy)
49,45.0,5110,7199,4650.831901389391,162779.11654862866,0.511,0.7199,,,,,0.7,High ($d_a = 0.7$),global,10000,32021.435999999394,Global (Epsilon-Greedy)
50,45.0,4548,6635,4175.885700516146,146155.99951806513,0.4548,0.6635,,,,,0.5,Medium ($d_a = 0.5$),global,10000,32487.874329633996,Global (Epsilon-Greedy)
51,40.5,7708,6959,5836.31182004228,230534.31689167002,0.7708,0.6959,,,,,0.7,High ($d_a = 0.7$),global,10000,32780.18800891418,Global (Epsilon-Greedy)
52,40.5,5091,6259,4445.241369015875,175587.03407612705,0.5091,0.6259,,,,,0.5,Medium ($d_a = 0.5$),global,10000,33072.50168819436,Global (Epsilon-Greedy)
53,40.5,2828,5263,2713.8088139600463,107195.44815142182,0.2828,0.5263,,,,,0.3,Low ($d_a = 0.3$),global,10000,33364.81536747454,Global (Epsilon-Greedy)
54,40.5,4787,6315,4276.8678378179575,168936.27959380927,0.4787,0.6315,,,,,0.5,Medium ($d_a = 0.5$),global,10000,33657.12904675472,Global (Epsilon-Greedy)
55,44.55,4215,6646,3937.035364502546,139567.90367161526,0.4215,0.6646,,,,,0.5,Medium ($d_a = 0.5$),global,10000,34104.332411353884,Global (Epsilon-Greedy)
56,44.55,4770,6614,4323.014694692484,153250.87092684858,0.477,0.6614,,,,,0.5,Medium ($d_a = 0.5$),global,10000,34551.535775953045,Global (Epsilon-Greedy)
57,40.5,5706,6257,4764.957395002059,188215.8171025813,0.5706,0.6257,,,,,0.5,Medium ($d_a = 0.5$),global,10000,34843.84945523323,Global (Epsilon-Greedy)
58,36.45,4102,5069,3588.0747387636798,156260.65487315823,0.4102,0.5069,,,,,0.3,Low ($d_a = 0.3$),global,10000,35014.07844919443,Global (Epsilon-Greedy)
59,36.45,2131,5135,2093.5636288688793,91174.69603723969,0.2131,0.5135,,,,,0.3,Low ($d_a = 0.3$),global,10000,35184.30744315563,Global (Epsilon-Greedy)
60,40.5,7449,6788,5670.322500183154,223977.7387572346,0.7449,0.6788,,,,,0.7,High ($d_a = 0.7$),global,10000,35476.62112243581,Global (Epsilon-Greedy)
61,36.45,6744,6586,5330.502080053064,232143.365586311,0.6744,0.6586,,,,,0.7,High ($d_a = 0.7$),global,10000,35646.850116397014,Global (Epsilon-Greedy)
62,36.45,4811,6034,4229.584107155093,184198.38786660432,0.4811,0.6034,,,,,0.5,Medium ($d_a = 0.5$),global,10000,35817.079110358216,Global (Epsilon-Greedy)
63,36.45,5572,6032,4627.043927708638,201507.76305171114,0.5572,0.6032,,,,,0.5,Medium ($d_a = 0.5$),global,10000,35987.30810431942,Global (Epsilon-Greedy)
64,36.45,6815,6580,5354.703174794086,233197.32326228244,0.6815,0.658,,,,,0.7,High ($d_a = 0.7$),global,10000,36157.53709828062,Global (Epsilon-Greedy)
65,32.805,4969,5781,4251.3203683742895,200641.06478542456,0.4969,0.5781,,,,,0.5,Medium ($d_a = 0.5$),global,10000,36245.93815045474,Global (Epsilon-Greedy)
66,40.095000000000006,3976,5317,3566.7377309909575,142330.66915519413,0.3976,0.5317,,,,,0.3,Low ($d_a = 0.3$),global,10000,36524.567136203026,Global (Epsilon-Greedy)
67,36.45,3641,6098,3439.234790933431,149778.6751451509,0.3641,0.6098,,,,,0.5,Medium ($d_a = 0.5$),global,10000,36694.79613016423,Global (Epsilon-Greedy)
68,36.45,5000,6084,4349.904868351177,189438.35701669377,0.5,0.6084,,,,,0.5,Medium ($d_a = 0.5$),global,10000,36865.02512412543,Global (Epsilon-Greedy)
69,36.45,4710,6044,4171.989871920668,181690.158922145,0.471,0.6044,,,,,0.5,Medium ($d_a = 0.5$),global,10000,37035.25411808663,Global (Epsilon-Greedy)
70,36.45,6526,6508,5213.580113602274,227051.41394737904,0.6526,0.6508,,,,,0.7,High ($d_a = 0.7$),global,10000,37205.483112047834,Global (Epsilon-Greedy)
71,40.095000000000006,2000,5280,1974.2217109716125,78781.31737632219,0.2,0.528,,,,,0.3,Low ($d_a = 0.3$),global,10000,37484.11209779612,Global (Epsilon-Greedy)
72,32.805,1909,4796,1879.8632128480149,88720.14433036208,0.1909,0.4796,,,,,0.3,Low ($d_a = 0.3$),global,10000,37572.51314997024,Global (Epsilon-Greedy)
73,40.095000000000006,3891,5320,3512.764000433969,140176.8474373175,0.3891,0.532,,,,,0.3,Low ($d_a = 0.3$),global,10000,37851.142135718525,Global (Epsilon-Greedy)
74,36.45,7760,6536,5635.411353308232,245422.16443657348,0.776,0.6536,,,,,0.7,High ($d_a = 0.7$),global,10000,38021.37112967973,Global (Epsilon-Greedy)
75,36.45,2957,5077,2804.7050476540085,122144.90482533208,0.2957,0.5077,,,,,0.3,Low ($d_a = 0.3$),global,10000,38191.60012364093,Global (Epsilon-Greedy)
76,36.45,4846,6150,4277.062132622873,186266.0558757261,0.4846,0.615,,,,,0.5,Medium ($d_a = 0.5$),global,10000,38361.82911760213,Global (Epsilon-Greedy)
77,36.45,6850,6559,5358.551139461288,233364.90212353907,0.685,0.6559,,,,,0.7,High ($d_a = 0.7$),global,10000,38532.05811156333,Global (Epsilon-Greedy)
78,36.45,5034,6046,4358.905029249004,189830.31402379405,0.5034,0.6046,,,,,0.5,Medium ($d_a = 0.5$),global,10000,38702.287105524534,Global (Epsilon-Greedy)
79,36.45,6106,6554,5051.3394657756435,219985.83373452924,0.6106,0.6554,,,,,0.7,High ($d_a = 0.7$),global,10000,38872.516099485736,Global (Epsilon-Greedy)
80,36.45,4678,6082,4160.827587972566,181204.04145620525,0.4678,0.6082,,,,,0.5,Medium ($d_a = 0.5$),global,10000,39042.74509344694,Global (Epsilon-Greedy)
81,32.805,8013,6241,5529.076300970959,260944.75602432445,0.8013,0.6241,,,,,0.7,High ($d_a = 0.7$),global,10000,39131.14614562106,Global (Epsilon-Greedy)
82,32.805,6826,6267,5218.155548629745,246270.8511175808,0.6826,0.6267,,,,,0.7,High ($d_a = 0.7$),global,10000,39219.54719779518,Global (Epsilon-Greedy)
83,29.5245,7286,5971,5199.860730516926,262465.57030320715,0.7286,0.5971,,,,,0.7,High ($d_a = 0.7$),global,10000,39257.02220511094,Global (Epsilon-Greedy)
84,29.5245,5950,5964,4765.586839038368,240545.37849388123,0.595,0.5964,,,,,0.7,High ($d_a = 0.7$),global,10000,39294.49721242669,Global (Epsilon-Greedy)
85,32.47695,5202,5722,4349.860284871366,206718.62781095618,0.5202,0.5722,,,,,0.5,Medium ($d_a = 0.5$),global,10000,39376.83710889248,Global (Epsilon-Greedy)
86,29.5245,3078,4610,2843.618731023384,143533.07725777084,0.3078,0.461,,,,,0.3,Low ($d_a = 0.3$),global,10000,39414.31211620824,Global (Epsilon-Greedy)
87,29.5245,5225,5390,4243.948880272072,214215.44170617298,0.5225,0.539,,,,,0.5,Medium ($d_a = 0.5$),global,10000,39451.787123523995,Global (Epsilon-Greedy)
88,32.47695,5784,5770,4621.586428970261,219631.88294327518,0.5784,0.577,,,,,0.5,Medium ($d_a = 0.5$),global,10000,39534.127019989784,Global (Epsilon-Greedy)
89,32.47695,4572,5735,4019.645524243878,191025.815230918,0.4572,0.5735,,,,,0.5,Medium ($d_a = 0.5$),global,10000,39616.466916455574,Global (Epsilon-Greedy)
90,29.5245,3140,4559,2879.7323427369984,145355.92986582138,0.314,0.4559,,,,,0.3,Low ($d_a = 0.3$),global,10000,39653.94192377133,Global (Epsilon-Greedy)
91,29.5245,4322,4613,3566.429278443507,180017.3010440752,0.4322,0.4613,,,,,0.3,Low ($d_a = 0.3$),global,10000,39691.416931087086,Global (Epsilon-Greedy)
92,29.5245,6164,5473,4622.1359567304935,233304.62348395007,0.6164,0.5473,,,,,0.5,Medium ($d_a = 0.5$),global,10000,39728.89193840284,Global (Epsilon-Greedy)
93,29.5245,2317,4548,2237.7145431224194,112949.76042137569,0.2317,0.4548,,,,,0.3,Low ($d_a = 0.3$),global,10000,39766.3669457186,Global (Epsilon-Greedy)
94,29.5245,6549,5959,4981.004916237389,251418.71364954027,0.6549,0.5959,,,,,0.7,High ($d_a = 0.7$),global,10000,39803.84195303435,Global (Epsilon-Greedy)
95,29.5245,2429,4603,2336.245010651975,117923.1350351638,0.2429,0.4603,,,,,0.3,Low ($d_a = 0.3$),global,10000,39841.31696035011,Global (Epsilon-Greedy)
96,26.57205,2262,4300,2176.457552571721,116283.66529592426,0.2262,0.43,,,,,0.3,Low ($d_a = 0.3$),global,10000,39851.361000520825,Global (Epsilon-Greedy)
97,29.5245,3534,4513,3125.4373531826654,157758.01312057162,0.3534,0.4513,,,,,0.3,Low ($d_a = 0.3$),global,10000,39888.83600783658,Global (Epsilon-Greedy)
98,29.5245,5513,5422,4373.394224255087,220749.26016638763,0.5513,0.5422,,,,,0.5,Medium ($d_a = 0.5$),global,10000,39926.311015152336,Global (Epsilon-Greedy)
99,29.5245,2838,4539,2658.285135867131,134178.27137546137,0.2838,0.4539,,,,,0.3,Low ($d_a = 0.3$),global,10000,39963.78602246809,Global (Epsilon-Greedy)
100,29.5245,5532,5463,4397.6536070929415,221973.76464481978,0.5532,0.5463,,,,,0.5,Medium ($d_a = 0.5$),global,10000,40001.26102978385,Global (Epsilon-Greedy)
101,32.47695,5813,5789,4640.760282947819,220543.08296454337,0.5813,0.5789,,,,,0.5,Medium ($d_a = 0.5$),global,10000,40083.60092624964,Global (Epsilon-Greedy)
102,29.5245,3825,5445,3490.6789827783346,176193.7669952278,0.3825,0.5445,,,,,0.5,Medium ($d_a = 0.5$),global,10000,40121.07593356539,Global (Epsilon-Greedy)
103,29.5245,5022,5464,4179.532203577375,210963.9777416698,0.5022,0.5464,,,,,0.5,Medium ($d_a = 0.5$),global,10000,40158.55094088115,Global (Epsilon-Greedy)
104,29.5245,6855,5933,5062.403214166207,255527.3334366464,0.6855,0.5933,,,,,0.7,High ($d_a = 0.7$),global,10000,40196.025948196904,Global (Epsilon-Greedy)
105,29.5245,5679,5476,4459.0459951160965,225072.57612648248,0.5679,0.5476,,,,,0.5,Medium ($d_a = 0.5$),global,10000,40233.50095551266,Global (Epsilon-Greedy)
106,29.5245,2460,4645,2365.0095439037273,119375.03923331256,0.246,0.4645,,,,,0.3,Low ($d_a = 0.3$),global,10000,40270.975962828416,Global (Epsilon-Greedy)
107,29.5245,2945,4564,2741.076772773731,138357.22064414047,0.2945,0.4564,,,,,0.3,Low ($d_a = 0.3$),global,10000,40308.45097014417,Global (Epsilon-Greedy)
108,29.5245,7140,5905,5125.618259170844,258718.14444077804,0.714,0.5905,,,,,0.7,High ($d_a = 0.7$),global,10000,40345.92597745993,Global (Epsilon-Greedy)
109,29.5245,7215,5964,5177.778995883447,261350.98370671493,0.7215,0.5964,,,,,0.7,High ($d_a = 0.7$),global,10000,40383.40098477568,Global (Epsilon-Greedy)
110,29.5245,4965,5427,4140.413891144586,208989.46136246857,0.4965,0.5427,,,,,0.5,Medium ($d_a = 0.5$),global,10000,40420.87599209144,Global (Epsilon-Greedy)
111,29.5245,2034,4588,1989.499957573691,100421.00510851084,0.2034,0.4588,,,,,0.3,Low ($d_a = 0.3$),global,10000,40458.350999407194,Global (Epsilon-Greedy)
112,29.5245,3959,5452,3581.29407811718,180767.60924000372,0.3959,0.5452,,,,,0.5,Medium ($d_a = 0.5$),global,10000,40495.82600672295,Global (Epsilon-Greedy)
113,29.5245,1985,4530,1943.2099659958224,98084.49463862214,0.1985,0.453,,,,,0.3,Low ($d_a = 0.3$),global,10000,40533.301014038705,Global (Epsilon-Greedy)
114,29.5245,7082,5969,5145.228811955623,259707.99689786602,0.7082,0.5969,,,,,0.7,High ($d_a = 0.7$),global,10000,40570.77602135446,Global (Epsilon-Greedy)
115,29.5245,5343,5438,4311.730376101543,217636.7465989134,0.5343,0.5438,,,,,0.5,Medium ($d_a = 0.5$),global,10000,40608.251028670216,Global (Epsilon-Greedy)
116,29.5245,3960,5506,3591.591640287865,181287.3838393502,0.396,0.5506,,,,,0.5,Medium ($d_a = 0.5$),global,10000,40645.72603598597,Global (Epsilon-Greedy)
117,29.5245,6224,5932,4856.793208547557,245149.06559804222,0.6224,0.5932,,,,,0.7,High ($d_a = 0.7$),global,10000,40683.20104330173,Global (Epsilon-Greedy)
118,29.5245,3437,4619,3087.679632486388,155852.17328956668,0.3437,0.4619,,,,,0.3,Low ($d_a = 0.3$),global,10000,40720.67605061748,Global (Epsilon-Greedy)
119,29.5245,3658,5364,3362.840819875777,169741.0718036398,0.3658,0.5364,,,,,0.5,Medium ($d_a = 0.5$),global,10000,40758.15105793324,Global (Epsilon-Greedy)
120,26.57205,5597,5199,4306.684300497845,230097.31347278378,0.5597,0.5199,,,,,0.5,Medium ($d_a = 0.5$),global,10000,40768.195098103955,Global (Epsilon-Greedy)
121,29.5245,5454,5491,4377.899937644773,220976.6883025886,0.5454,0.5491,,,,,0.5,Medium ($d_a = 0.5$),global,10000,40805.67010541971,Global (Epsilon-Greedy)
122,29.5245,2702,4551,2554.7309008831216,128951.31958752601,0.2702,0.4551,,,,,0.3,Low ($d_a = 0.3$),global,10000,40843.14511273547,Global (Epsilon-Greedy)
123,32.47695,4561,5723,4010.397450763587,190586.3185725105,0.4561,0.5723,,,,,0.5,Medium ($d_a = 0.5$),global,10000,40925.48500920126,Global (Epsilon-Greedy)
124,29.5245,5016,5549,4204.564582049714,212227.4995612503,0.5016,0.5549,,,,,0.5,Medium ($d_a = 0.5$),global,10000,40962.96001651701,Global (Epsilon-Greedy)
125,29.5245,5253,5489,4292.654894991063,216673.90215212147,0.5253,0.5489,,,,,0.5,Medium ($d_a = 0.5$),global,10000,41000.43502383277,Global (Epsilon-Greedy)
126,29.5245,5040,5402,4166.777092667537,210320.15714094022,0.504,0.5402,,,,,0.5,Medium ($d_a = 0.5$),global,10000,41037.91003114852,Global (Epsilon-Greedy)
127,29.5245,7783,6007,5337.138816938156,269394.75035436195,0.7783,0.6007,,,,,0.7,High ($d_a = 0.7$),global,10000,41075.38503846428,Global (Epsilon-Greedy)
128,29.5245,5924,5467,4541.765303565972,229247.87458014418,0.5924,0.5467,,,,,0.5,Medium ($d_a = 0.5$),global,10000,41112.860045780035,Global (Epsilon-Greedy)
129,32.47695,4674,5784,4090.404755376227,194388.50970998217,0.4674,0.5784,,,,,0.5,Medium ($d_a = 0.5$),global,10000,41195.199942245825,Global (Epsilon-Greedy)
130,29.5245,6374,5979,4931.110008535868,248900.2432358522,0.6374,0.5979,,,,,0.7,High ($d_a = 0.7$),global,10000,41232.67494956158,Global (Epsilon-Greedy)
131,29.5245,6409,5457,4685.841539343927,236520.1946191544,0.6409,0.5457,,,,,0.5,Medium ($d_a = 0.5$),global,10000,41270.149956877336,Global (Epsilon-Greedy)
132,29.5245,6700,5956,5027.578572947244,253769.54225879864,0.67,0.5956,,,,,0.7,High ($d_a = 0.7$),global,10000,41307.62496419309,Global (Epsilon-Greedy)
133,29.5245,6897,6007,5112.816926080714,258071.9907523871,0.6897,0.6007,,,,,0.7,High ($d_a = 0.7$),global,10000,41345.09997150885,Global (Epsilon-Greedy)
134,29.5245,2042,4642,1998.4548551465089,100873.0080409476,0.2042,0.4642,,,,,0.3,Low ($d_a = 0.3$),global,10000,41382.5749788246,Global (Epsilon-Greedy)
135,29.5245,2714,4528,2561.902461665116,129313.30770377754,0.2714,0.4528,,,,,0.3,Low ($d_a = 0.3$),global,10000,41420.04998614036,Global (Epsilon-Greedy)
136,29.5245,3379,4535,3034.3957039357824,153162.6403540106,0.3379,0.4535,,,,,0.3,Low ($d_a = 0.3$),global,10000,41457.524993456114,Global (Epsilon-Greedy)
137,29.5245,6996,6007,5141.504031532385,259519.98674361288,0.6996,0.6007,,,,,0.7,High ($d_a = 0.7$),global,10000,41495.00000077187,Global (Epsilon-Greedy)
138,29.5245,3498,5481,3263.1853050208824,164710.90986358156,0.3498,0.5481,,,,,0.5,Medium ($d_a = 0.5$),global,10000,41532.475008087626,Global (Epsilon-Greedy)
139,29.5245,7640,6032,5320.35974101757,268547.81810773234,0.764,0.6032,,,,,0.7,High ($d_a = 0.7$),global,10000,41569.95001540338,Global (Epsilon-Greedy)
140,29.5245,5870,5404,4494.227409871731,226848.37562698056,0.587,0.5404,,,,,0.5,Medium ($d_a = 0.5$),global,10000,41607.42502271914,Global (Epsilon-Greedy)
141,32.47695,6300,5774,4811.316518524736,228648.43547567696,0.63,0.5774,,,,,0.5,Medium ($d_a = 0.5$),global,10000,41689.76491918493,Global (Epsilon-Greedy)
