t,p,D,T,S,U,D_bar,Z_bar,gradient_estimate,delta_hat,upsilon_hat,zeta,state_d_a,state_name,experiment_type,n,cumulative_regret,experimentation
97,24.87789694638744,5061,4920,3990.806937388072,219981.67126977726,0.5061,0.492,-0.08878237959157742,0.019651460316728556,0.013315889503858263,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5596.148457692357,Local
98,24.859778093409567,4981,4978,3983.599277035937,219656.54812269483,0.4981,0.4978,-0.013909587104687704,0.03077632514555653,0.0174095957383025,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5598.271194406124,Local
99,24.85696807581266,6715,5465,4770.856990177638,263079.51931509783,0.6715,0.5465,-0.1912969011592206,0.010683888892355638,0.009131441044738361,0.5,0.7,High ($d_a = 0.7$),local,10000,5600.385750841374,Local
100,24.818708695580817,4000,4146,3256.307545354916,179687.2552370078,0.4,0.4146,-0.05366048832444492,0.022800973137433758,0.013263163810707445,0.5,0.3,Low ($d_a = 0.3$),local,10000,5602.390501190432,Local
101,24.80808285630865,5265,4992,4096.992829778102,226120.88879941055,0.5265,0.4992,-0.15884448711591703,0.01340226626844186,0.01025836664386803,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5604.365274364861,Local
102,24.776936878442786,3641,4132,3084.52544071258,170336.9431125199,0.3641,0.4132,-0.13881442939450284,0.015850687049664785,0.010131894598057092,0.5,0.3,Low ($d_a = 0.3$),local,10000,5606.253480829498,Local
103,24.749982620307932,3469,4186,3008.9234692481236,166243.07397012218,0.3469,0.4186,-0.21257997122751499,0.007982507390336355,0.006136012955570662,0.5,0.3,Low ($d_a = 0.3$),local,10000,5608.06833704225,Local
104,24.70910185661033,6307,5027,4419.972223480694,244384.23400508263,0.6307,0.5027,-0.27580982617835387,0.005622779185824793,0.005145480618789083,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5609.774718142599,Local
105,24.65656665162398,6786,5258,4665.909614733345,258227.45777254176,0.6786,0.5258,0.16050721528873096,0.025872290709689813,0.01868935839437139,0.5,0.7,High ($d_a = 0.7$),local,10000,5611.346607266125,Local
106,24.686851031867135,6341,5382,4627.019987072778,255935.04582348478,0.6341,0.5382,-0.15426210200081497,0.012769442043110677,0.010448545283833167,0.5,0.7,High ($d_a = 0.7$),local,10000,5612.995351618271,Local
107,24.658016994109975,7351,5338,4828.723807819779,267231.1509124988,0.7351,0.5338,0.2639558918030065,0.027912205279153477,0.020593946781685267,0.5,0.7,High ($d_a = 0.7$),local,10000,5614.570879579144,Local
108,24.706897714814236,2976,4172,2705.0734975348146,149571.9055881377,0.2976,0.4172,-0.17055459036405662,0.019433120777324894,0.010526865852605309,0.5,0.3,Low ($d_a = 0.3$),local,10000,5616.2715070619915,Local
109,24.67560329456395,4600,4932,3803.564815945421,210429.92877220336,0.46,0.4932,-0.04099118966070536,0.03485495767932288,0.017758059549145486,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5617.89149296239,Local
110,24.668150350989276,3628,4909,3265.6788605973916,180696.0517165275,0.3628,0.4909,-0.21258184671982097,0.017650784689136147,0.010809640046831727,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5619.492562394728,Local
111,24.629847315544264,5111,4941,4018.50088071085,222505.00732757963,0.5111,0.4941,0.015887866105327997,0.03032800580854325,0.017657519663234436,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5620.998166704654,Local
112,24.632684434491644,6994,5345,4763.5671579744585,263745.9260530636,0.6994,0.5345,0.05424145380061124,0.019924318789100604,0.015534133928700027,0.5,0.7,High ($d_a = 0.7$),local,10000,5622.510741527853,Local
